Alenka Figa::  Okay.
Kalilah Wiley Moxley & Alenka Figa::  And that was one thing that I would always do and that’s something – now, those same exact photos have been in shoeboxes for years and years, but... That’s something I would like to pick up again, but, yeah, that was like one interesting thing I did with the room. And another interesting thing, I picked up this habit from others and I've noticed it still goes on. People put Christmas lights in their room.
Kalilah Wiley Moxley::  Uh.. see... What memories... How has Grinnell changed since I was a student? It’s changed quite a bit. There’s some things that I still remember, some things I don’t, and one thing is, there’s an East Campus. Before I left it was North Campus, South Campus, the division line was the railroad tracks. Now that’s gone. Now you have East Campus. That’s new.
Kalilah Wiley Moxley & Alenka Figa::  They’ve changed the dining areas. There’s no longer the Forum. There's, I guess it's the JRC, is what they call it. Yeah, I still have to visit that. Darby used to be there, but that’s now no more. There was another area. I can’t even remember the name of the gymnasium. It’ll probably hit me at 3 o’clock in the morning today. That’s now gone and they’ve replaced it with this new area where they have like a new fitness center thing. I think it’s something called Bear?
Kalilah Wiley Moxley & Alenka Figa::  If you met your spouse or partner at Grinnell- Well, that doesn’t apply. I met my spouse after I left. Um... wow.
Kalilah Wiley Moxley::  Describe your favorite place on the campus. Well, there’s several. I actually just took my husband over to Burling Library. That was a place I used to have to study at my first year and sophomore year because I had roommates and I was a late night studier. When I say “late night” two, three, four o’clock in the morning, so I had to go there. So I was just visiting the old areas where I used to study at. Another favorite place was Harris, ‘cause I would of course go pretty much almost to every single party that they had. Or you know, do movies and whatnot.
Kalilah Wiley Moxley::  I guess, the one other thing that I actually saw in here, what were your best memories of your time at Grinnell College? One of the best things, I would have to say, was... I guess there were several things. One thing that I loved was when we were outside of class, and, of course, a lot of people complained there wasn’t enough to do, and da da da da, but I thought it was the perfect mix because during the week your focus was studying and going to class, but it was, of course, mostly studying.
Kalilah Wiley Moxley::  And I liked the fact that there was not much to do so I could focus a lot better. And then, y’know, Fridays and Saturdays you would just go over to Harris, or go hang out in one of- go hang out with whoever was having, y'know, a random event or whatnot. So that was one of my best memories, was the extra-curriculars in terms of being able to go out and partying.
Kalilah Wiley Moxley & Alenka Figa::  Another great memory I had was, most of the classes that I took you were able to do the discussions in class and then after class you would have- I had to do, in terms of History, you have to do lots and lots of reading. And a lot of the- sometimes the reading was so boring I was just like, “OK, I’m just skimming this, just to get the point.” But there were some passages where it was so interesting, I read the whole thing cover to cover. And one of the- I guess it was like, one of the best things, was just learning all of these different things I learned. And I even have some of the textbooks to this day.
Kalilah Wiley Moxley::  Another great memory I have at school- it actually wasn’t per say at school. It was the fact that I had the opportunity to study abroad. My original intent, because I took Spanish and I was just like, “I’m gonna learn how to be bilingual in Spanish!” That, unfortunately, it didn’t happen because I didn’t take enough Spanish credits, but I also took French here.
Kalilah Wiley Moxley & Alenka Figa::  I started taking French here and one of the language assistants basically, by interacting with him and I got a chance to really know him. He actually, was part of the reason why I decided, “Oh, well, since I can’t go to a Spanish-speaking country I’ll just go to France.” So I studied in the south of France. The town is called Aix-en-Provence.
Kalilah Wiley Moxley::  It’s a really beautiful town. It's, of course, it is a touristy town because it's like, everybody and their fifth cousin has heard of it, and it also has a lot of college students, particularly American students, who go there, y'know, to become better acquainted with the French language. I have to say, I didn’t have the best time studying abroad but, I always say, I was always glad I had the experience because I always wanted to know, what is the secret of- Somebody would, before they would leave before study abroad, they would know the language and it was kind of, y'know, eeeeeeeeeh, kinda whatever.
Kalilah Wiley Moxley::  But when they would get back, it was like, literally, they could translate. They could sign up for the interpreter for the UN. And I was like, “I wanna be able to do that. What’s the secret?” Well, the secret is you operate in the language 24 hours a day. And that’s how you get good at it. The more you speak it, the better you get at it. You’re gonna mess up and all this other stuff but it’s like, "Eh, so what?" Y'know, they get the gist.
Kalilah Wiley Moxley::  Because of that my French speaking got so much better, I was able to understand better. My writing wasn’t still the greatest because it’s not the easiest language to write in, and it takes a while learn, and it’s not phonetic like it is with Spanish.
Kalilah Wiley Moxley::  And I would have to say, one of the jobs- actually a couple of jobs. Particularly, I used to do currency exchange and one of the nice things about me being fluent in French was I was able to communicate with people who came from French-speaking countries. And they were shocked, “An American who could speak French fluently!” Like, “Yeah. It does exist. It’s rare.” So that was really the best part and I was even- even at that job my Spanish did get a bit better, because well, I had to talk in Spanish.
Kalilah Wiley Moxley::  I have to sadly say though, it’s kind of slipped a little ‘cause the current job I haven’t- I haven’t had the opportunity really. It's because it’s like- It’s still there, it's just kind of, as they say, it’s got some dust on it. But I would say it’s one of those, if anybody, I guess this a plug for anybody who’s considering studying abroad, it’s one of those experiences... Do it while you’re in college.
Kalilah Wiley Moxley & Alenka Figa::  'Cause once you leave school, it's very... it can be difficult to do. It’s not impossible, but it can be difficult to do it, and particularly once you get married and have kids you can’t necessarily- It’s a lot harder just to say, “OK I would like to study abroad,” if you’re like, of the working age. Once you retire, that’s a different story. It’s different because you have to think more of the “we” versus, “Oh, I’m by myself, I can do whatever I want.” Yeah.
