Sophie Haas::  Yeah, so whenever you're ready.
Sophie Haas & William Schooler::  Well, one of the things was, after Kent State and going into Cambodia, a large segment of the student body, after the college holiday, did not want this campus to reopen. Personally, I wanted to finish my classes. I wanted- I was in track and field and had a chance with the team to go to Nationals. If the cam- if that closed, then that was all gone.
Sophie Haas & William Schooler::  Mhm.
Sophie Haas & William Schooler::  I just did not feel that they had the right because they didn’t want to continue schooling that year, that everybody else be forced to do that.
William Schooler & Sophie Haas::  And I remember, the day that all of the professors marched into a building to sit down and debate what the school was going to do, most of the student body was out in central campus, lining the sidewalk. And I had a sign that said, "Protect my right to continue my education."
William Schooler & Sophie Haas::  Mhm.
William Schooler & Sophie Haas::  And I took quite a bit of guff about that, and any signs or anything that I put up that was supporting keeping school open were torn down or burned.
William Schooler & Sophie Haas::  Hm.
William Schooler & Sophie Haas::  It was a very intolerant time. The people that were driving the movement did not want any other outcome or any other discussion, except what they thought was right.
Sophie Haas & William Schooler::  And were those other students or the school’s administration, or..?
Sophie Haas & William Schooler::  It was really the other students.
Sophie Haas & William Schooler::  Mhm.
Sophie Haas & William Schooler::  I had an American flag on the antenna of my car and I bought a whole bunch of ‘em because every night they would- somebody would burn it, so next morning I’d put on another one. It was the students that- The faculty, although there were faculty members that disagreed vehemently, I never felt that they put any pressure on the students. I thought this pressure came from the students.
Sophie Haas & William Schooler::  Right, Yeah.
Sophie Haas & William Schooler::  Wow, that’s so interesting. It must’ve just felt so different from the beginning of your time here to the end.
Sophie Haas & William Schooler::  In two years, really, everything in the whole world seemed to change. I remember the night we stood in South Lounge, in the Forum, and we were- everybody was there, watching, because they were drawing the numbers for who was going to Vietnam, and... It was a really stressful time.
Sophie Haas & William Schooler::  Uh-huh.
Sophie Haas & William Schooler::  Y'know, if they drew your number, and then there was a number of students that got drawn and knew that they were just going to go, y'know, and broke down and cried, and... My number was such that I wasn’t in immediate danger, but at the rate that they were taking people, it was a 50/50 shot whether they would get to me.
Sophie Haas & William Schooler::  Great.
William Schooler & Sophie Haas::  And what you could do was expose yourself to the draft and say, "For this period of time, if they get to me, I go, whether I’m in college or anything," and if you got through that period, then you get to use a deferment. And I decided, I was just- I wasn’t going to live with that hanging over my head and I just said, "Well, if they take me, they take me. If they get to me, I’ll just watch the numbers." Luckily, I think they ended up about five numbers from me, drafting.
William Schooler & Sophie Haas::  Wow.
William Schooler & Sophie Haas::  So, I never did have to go. So I was able to go to law school then, right out of Grinnell.
William Schooler & Sophie Haas::  Wow. That’s wonderful.
William Schooler & Sophie Haas::  Well, I don’t know if it’s wonderful. It was.... it was such a bizarre time.
William Schooler & Sophie Haas::  Mhm.
William Schooler & Sophie Haas::  You really didn’t- there were so many people that believed things that were not true-
William Schooler & Sophie Haas::  Mhm.
William Schooler & Sophie Haas::  -and were so sure of what was going to happen that you ended up questioning yourself a lot, whether you were wrong and maybe they were right.
William Schooler & Sophie Haas::  Right, yeah.... Yeah.
Sophie Haas & William Schooler::  Well, do you have anything else you want to add, or-?
Sophie Haas & William Schooler::  Nah, I don’t think so. I think that’s... pretty much the... The overriding thing when I think of Grinnell, is going through that.
Sophie Haas & William Schooler::  Yeah, absolutely. Great, thank you so much.
